"N1+にに応じて
N1+に応じて+N2"	"Tùy theo.../
Tương ứng với..."	Tuỳ theo N phía trước mà chủ thể làm gì đó cho phù hợp, tương ứng với N.	"1. 言語レベル応じて、クラス分けを行う。
2. 収入に応じて一人一人が払う税額は変化する。"
"普通形
A な / A なである      +   にもかかわらず
N/ N である"	"Mặc dù.../
Dù cho.../
Không quản..."	"Bất chấp, dù cho...có chuyện gì đó, nhưng vẫn....
Thường thể hiện cảm xúc bất ngờ, bất mãn, thất vọng... của người nói trước sự việc diễn ra ở vế sau."	徹夜して勉強したにもかかわらず、テストの結果は良くなかった。
"V khả năng
V mong muốn         +      だけ/だけの N
A な /A い"	"Trong khả năng.../
Trong phạm vi..."	"Làm gì đó hết mức/ toàn bộ trong 1 phạm vi nào đó.
できるだけ、ほしいだけ、Vたいだけ、好きなだけ ..."	毎日勉強のため、できるだけ本を読むようにしている。
"普通形
A な / A なである + に過ぎない
N/ N である"	Chỉ là...	Thường đi với ただ、ほんの. に過ぎない .	毎年この大学に入れる人は 1000 人の中 10 人に過ぎません。
Vる + ばかりだ	Đang ngày càng V	"Chiều hướng xấu.
Thường đi với những động từ diễn tả sự thay đổi."	今年に入ってから、お客さんは減るばかりだ。
Vる + 一方だ	"Càng ngày càng V/
Có xu hướng V"	一方だ diễn tả cả trạng thái tốt + xấu.	
V  (bỏます)  + つつある	"Đang dần V
Đang ngày càng V"	"Đi với động từ chỉ sự thay đổi
Không thường sử dụng trong hội thoại hàng ngày."	最初はやりたくなかったが、最近はやる気がでつつある。
Vた + きり / っきり	Kể từ sau khi V	"Kể từ sau khi làm ..., thì liên tục duy trì 1 trạng thái nào đó không diễn ra.
Vế sau thường ở thể phủ định."	昨日は朝にご飯を食べたっきり、今日はまだ何も食べていない。
"V(I) る
V(II) る / V(II)(bỏます) + まい
--------
V(III)するまい / すまい
来るまい / こまい"	Có lẽ không V	Đưa ra suy đoán: có lẽ không/ chắc hẳn là không làm gì đó.	そんなわかりやすい嘘は、誰も信じるまい。
"V(I) る
V(II) る / V(II)(bỏます) + まい
--------
V(III)するまい / すまい
来るまい / こまい"	"Tuyệt đối không V/
Nhất định không V"	Diễn tả hành động, sự việc mà người nói kiên quyết không làm.	彼が約束を破るのはこれで 3 回目だ。もう彼を信じまい。
N/ 普通形 + とはいえ	Tuy/ mặc dù nói là...	"Mang nghĩa “tuy... nhưng...” giống けれども、といっても
Có thể dùng とはいえ như 1 từ nối."	もう退院したとはいえ、まだ病気が完全に治ったわけではない。
Vる + くらいなら	Nếu V thì thà... còn hơn	Vì là thứ mình không thích nên phải như thế thì thà ∼ còn ∼ hơn.	彼女と会えなくなるくらいなら、私は仕事を辞める。
"ない形
A(bỏな)でない + ことには
Nでない"	Nếu không... thì...	"Nếu không có điều gì đó ở vế trước, thì vế sau sẽ không thể thực hiện được, vế sau thường ở thể phủ định.
Văn nói thường dùng: なければ、なくては、なきゃ、なくちゃ"	彼女が来ないことには、 話を進める事ができない。
"Vた                            Vた
A(bỏい)かった    +    ら    +    A(bỏい)かった         +       で
A(bỏな) / Nだった                A(bỏな) / Nだった
---------------------
A(bỏな) / N   +    なら    +    A(bỏな) / N    +    で"	"1. ... thì cũng có cái hay/ dở, nhưng...
2. ... thì... thôi, chứ...."	"Khi ở trạng thái, tình huống trước たら / なら thì cũng có vấn đề riêng của nó hoặc có những khía cạnh, đặc điểm riêng nào đó.
Cho dù ở trạng thái, tình huống trước たら / なら thì cũng không hẳn là xấu, không phải vấn đề quá to tát."	一人なら一人で、周りに気を使わずにのんびりできるので気楽だ。
"普通形 / A(bỏな) /N + なりに
普通形 + なり + の + N"	"Theo kiểu của.../
Tương xứng với..."	"Đưa ra đánh giá tích cực hoặc 
Nếu có danh từ đứng sau, cấu trúc sẽ là「〜なり+の+ N」"	金が減ったら、減ったなりにまた働いて稼がなくちゃ。
Vた + ものだ	Đã từng hay/ thường xuyên	Hồi tưởng về những chuyện thường làm trong quá khứ.	ベトナムにいた頃は、毎日フォーを食べたものだ
"Vる/Vない + ものだ 
"	"Vốn dĩ là.../
Đương nhiên là…"	Chỉ sự thật, hiển nhiên, bản chất của sự việc	人は見かけで分からないものだ
Vる + ものだ / ものではない	Nên/ không nên…	Lời khuyên mang tính xã hội, phép tắc, dạy đời	大人になったら親孝行するものだ
"V( 普 )/Aい(普)
A(bỏな) /A(bỏな)である+ ものの
N である"	"Mặc dù… nhưng…/
 … thế mà…"	Vế sau thường là Không theo người nói nghĩ	あの店は料理がまずいものの、いつも混んでいる
Vる(可能形) + ものなら	Nếu như có thể	"Văn nói: もんなら
Vế sau: thường đi với câu thể hiện nguyện vọng, mệnh lệnh"	やれるものならやってみてください
"V(普)
A(bỏい)さ /A(bỏい)み の + あまり
A な /N の"	Vì quá…	"Mở rộng: あまりの+ N +(に)
Thường đi với những từ thể hiện cảm xúc"	この歌を聞くと悲しみのあまり泣いてしまう
 N1 を N2 +とする～ / とした～ / として,～	"Xem N1 như N2/
 Coi N1 như N2"		マイナス 10kg を理想としてダイエットに励む
N1 +をはじめ(として)/ をはじめとする N2	"Đầu tiên phải kể đến là…/
 Đặc biệt là…"	"Đưa ra ví dụ điển hình
Vế sau phạm vi rộng hơn: みんな、色々、さまざま、だくさん"	ベトナム料理にはフォーやブンをはじめ料理がたくさんあります
"V(bỏない) + ざるをえない
 ⊛する→ せざるをえない"	Buộc phải/ Đành phải V	Giống với ないわけにはいかないnhưng cảm xúc ko muốn mạnh hơn	明日は大事な試験なので、徹夜してでも勉強せざるをえない
N + はともかく(として)	"Khoan bàn đến N
Chưa cần quan tâm đến N mà"	Vế sau cần phải được ưu tiên hơn/ quan trọng hơn	見た目はともかく味が美味しい
N/ ～かどうか + は別 + として / にして	"1. Không tính đến... thì.../
Không biết... hay không, nhưng..
2. Trừ N ra thì…"	"1. Đưa ra 1 đánh giá ko tính đến N
2. Đưa ra 1 ngoại lệ nào đó."	"1.あの店は、味は別として、接客が悪すぎる
2.この店では、盗難品は別として、何でも買い取ってくれる"
N + はもとより	N là đương nhiên,… cũng	Bằng với「〜はもちろん」	大学院に進学することは、 父はもとより母も賛成だ
"V ても        V なくても
A(bỏい)くても     A(bỏい)くなくても
A(bỏな)でも     A(bỏな)じゃ / ではなくても
N でも        N じゃ / ではなくても"	Dù... hay không…	Dù trong trường hợp nào thì kết quả cũng giống nhau.	高くても高くなくても買います
Vない + でもない	"Không phải là không…/
Không hẳn là không…"	Cách nói khẳng định	お酒は飲めないでもないのですが、あまり飲みません
"V(bỏます) +ようがない / ようもない
＊Tân ngữ/ Nの + V(bỏます) ようがない / ようもない"	Có muốn V cũng không được…	Không có cách thức, phương pháp để thực hiện nên có muốn cũng ko được	学生にやる気がなければ、教えようがない
"普通形+の
A(bỏな)の /A(bỏな)であるの + もかまわず
N/N であるの"	"Chẳng màng…/
 Mặc kệ…"	Thường gặp: 人目もかまわず	彼は人目もかまわず、道で彼女にプロポーズした
Vた + つもりで	Coi như, vờ như, làm như….	Đánh lừa cảm xúc để làm gì đó	モデルになったつもりで、道を歩いてみる
"普通形
Ａな / Nの + つもり"	"Cứ tưởng là.../ Cứ nghĩ là....
 nhưng (thật ra)…"	Phần trước「つもり」là nội dung mà người đó nghĩ hoặc tin	彼女とは恋人のつもりだったが、彼女はその様に思っていなかった
"A(bỏい) / A(bỏな)
N / Vたい(bỏい)                     +          げ"	(Trông có) vẻ...	"Miêu tả dáng vẻ/ trạng thái cảm xúc của con người.
Là cách nói cổ của そう"	あの子に何かあったのだろうか、悲しげな表情をしている。
Số lượng + おきに	Cứ cách.../ Cứ mỗi...	Ngày tháng năm thì dịch là cứ cách, còn lại đơn vị dịch là cứ mỗi	私の会社は3か月おきにパーティーが開催される。
N1(や / とか) N2... + といった N	Ví dụ như.../ Chẳng hạn như...	Cách nói đưa ra 1 vài ví dụ cụ thể/ tiêu biểu cho danh từ chung đứng sau.	米、小麦といった食材にアレルギーがある方は言ってください。
普通形 + とか	Thấy bảo hình như là...	Truyền đạt lại thông tin nghe được, đọc được ở đâu đó, nhưng không chắc chắn.	最近は若者にタピオカという飲み物が人気だとか。
Vる + とか、(Vる + とか)	Như là... (như là... )	Dùng để liệt kê hành động.	経済的に困っている学生には、寮の家賃を安くするとか、奨学金を支給するとかして、援助をするべきだ。
V(bỏます)  +  たて / たてのN	Vừa mới...	Cách nói khác: Vたばかり , nhưng Vたて thường mang nghĩa tích cực hơn.	やっぱり料理はできたてが一番おいしい。
Nを+除いて / 除く / 除けば	Trừ N ra...	Loại trừ một sự vật, sự việc nào đó ra khỏi phạm vi hành động.	お酒が飲めない人を除いて、みなさんビールでいいですか。
Nの / Vる /Vない    +   おそれがある	E rằng.../ Có khả năng...	Phủ định: 「~おそれはありません」.	今晩は大雨のおそれがある。
N1 + をめぐって / をめぐり / をめぐる N2	Xoay xung quanh...	Bày tỏ ý kiến, tranh luận, tranh cãi xoay xung quanh 1 chủ đề/ vấn đề/ đề tài nào đó.	問題を起こした社員の処分をめぐって、話し合いが行われた。
N + をぬきにして ( は )	Nếu mà không... (thì khó có thể...)	Nếu mà không (đề cập đến/ nói đến/ có) thì khó có thể thực hiện được.	監督の熱心な指導ぬきにしては、優勝する事はできなかった。
N + に沿って	"1. Dọc theo.../ Men theo...
2. Dựa theo..."	"1. Trải dài, tiếp nối như: con đường, bờ sông, vạch kẻ...
2. Bám sát theo những thứ như: マニュアル、期待、希望、方針、基準、..."	お客様の要求に沿って、新商品を開発する。
N1 + に基づいて / に基づく+ N2 / に基づいた + N2	Dựa theo.../ Dựa trên...	Dựa trên căn cứ/ tiêu chuẩn/ căn bản	マニュアルに基づいて作業を進めてください。
V普 / N   +  にしては	Vậy mà...	Nhấn mạnh cảm xúc bất ngờ	未経験にしては、筋がいいので今後に期待できる。
"V / Aい(普)
Aな / A(bỏな)である        +     反面
Nである"	Mặt khác.../ Trái lại thì...	2 tính chất/ 2 mặt/ 2 phương diện mang nghĩa ngược nhau	私の住んでいる家は駅から遠い反面、家賃が安い。
N1 + に反して / に反する + N2	Trái với.../ Ngược lại với...	"N đứng trước thường là: 予想、期待、命令、意図、法律、規則、希望、...
Vế sau là điều ngược lại với N đứng trước."	両親のアドバイスに反して、 彼は夢をかなえるために東京へと向かった。
Vる + ことなく	Mà không V	"(làm gì) mà ko làm gì
Giống ないで"	今月は、仕事が忙しかったので、休むことなく、休日も働いた。
N + のことだから	Vì là ... nên chắc chắn là	"Nの: danh từ chỉ người 
Khi đứng ở cuối câu sẽ có dạng: のことだ."	彼女のことだから、すぐに友達ができるだろう.
"Vた
Aな /A い + ことに"	"Thật là…/
Thật... làm sao/biết bao khi…."	"Chỉ đi với những động từ, tính từ chỉ cảm xúc.
Vế sau không đi với những câu thể hiện ý chí, dự định như Vたい、つもりだ"	残念なことに、彼の買おうとしていたお弁当は売り切れだった。
"V(bỏない)
A(bỏい)く    + ないことは ( も ) ない
A(bỏな)で /N で"	"Không phải là không…/
Có lẽ/có thể là…"		それは私のせいでないことはないけど、上司に言われてやっただけだ。
普通形/ Aな + ことか	Vô cùng/ rất...	"Nhấn mạnh vào mức độ: Vô cùng… đến mức khó có thể diễn tả nổi.
Thường hay đi với từ để hỏi trong câu: どんなに / どれほど / なんと～ことか、.."	上司との飲み会は、気を使うだけだが、友人との飲み会はなんて楽しいことだろう
〜ことだ	"1. Vる / Vない + ことだ (Nên/Không nên)
2. Aい /A な + ことだ (Vô cùng, rất)"	"1.
Đưa ra lời khuyên, ý kiến, cảnh báo của người nói về việc nên/không nên làm gì.
Thường người trên nói với người dưới.
2.
Cách nói thể hiện cảm xúc vô cùng bất ngờ, cảm động.
Thường đi với tính từ chỉ cảm xúc."	"N2 に合格したければ、毎日欠かさず勉強することだ.
屋根から落ちるなんて大変なことだ。"
普通形/ Aな/ Nな + ものだから / ～もので	Vì lí do là…	"Dùng khi muốn đưa ra lí do mang tính cá nhân, vì không có cách nào khác
hoặc không thể nào làm khác được nên…
Văn nói: もんで、もんだから"	宿題を忘れたもので、先生に怒られてしまった。
N + のもとで	Dưới/ Dựa vào/ Nhờ vào N	"Làm gì dưới sức ảnh hưởng của người hoặc phạm vi gì đó.
Cách nói khác: のもとに、のもと"	入学試験は厳しい監視のもとで行われる。
普通形/ A(bỏな)/ N + というものだ	Thật là..../ đúng là...	Sử dụng khi người nói nhìn thấy 1 sự việc, sự thật nào đó và nói lên cảm xúc, suy nghĩ, phê phán hoặc nhận xét về sự việc đó.	どんなことにおいても楽に考える彼は楽観的な人というものだ
普通形/ A(bỏな)/ N(だ) + というものではない/というものでもない	"Không hẳn là.../
Không phải là..."		なんでも無理をすればいいというものではない。
"Vる /A い
A な /N な +ものか / もんか"	"Không đời nào.../
… gì mà…!"	"Cách nói phủ định mạnh mẽ: quyết không làm gì, hoặc không đời nào có sự việc đó xảy ra.
Cách nói thường được nam giới sử dụng."	家族との大切な思い出を簡単に忘れるものか。
Vる/Aい/Aな + ものがある	"Có điều gì đó
cảm thấy rất…"	Thể hiện 1 cảm xúc không rõ ràng và không hiểu vì sao mà cảm thấy… thế nào đó.	彼の演説は何か人の心を動かすものがある。
Vる /Vた/Nの + 際(に / は)	Khi...	Là cách nói trang trọng của 時に	彼に会った際にはこの本を渡してください
Vる/N + に際して	Khi.../ Nhân dịp...	"Diễn đạt hành động, sự việc được thực hiện nhân một dịp, sự kiện đặc biệt nào đó.
Thường được sử dụng trong câu lưu ý, xin lỗi hoặc giải thích.
「て」 trong 「〜に際して」 có thể được lược bỏ, tạo thành 「〜に際し」- cách nói nàysẽ trang trọng, cứng hơn 「〜に際して」.
Khi phía sau là một danh từ, cấu trúc có dạng 「〜に際しての+ N」."	結婚するに際して、両親にお礼を言いたいと思います
Vる/N + にあたって / にあたり	Khi.../ Nhân dịp...	"Vào lúc có dịp/ việc gì đó đặc biệt, quan trọng thì làm 1 hành động mang tính quan trọng đối với sự kiện đó.
Là cách nói trang trọng, không dùng hội thoại thông thường."	結婚するにあたって、子供が好きな事が絶対条件だ
Vた + かと思うと / かと思ったら	Vừa mới… đã ngay lập tức…	"Diễn tả 2 trạng thái/thay đổi diễn ra gần như ngay lập tức.
Miêu tả sự vật, người khác, không nói về bản thân mình.
Không đi với đuôi câu: Vよう、Vるつもり"	勉強し始めたかと思うと、漫画を読みだしたので、注意をした
Vる/Vた + か + Vない + かのちに	Ngay khi vừa mới...thì...	"2 hành động/sự việc trước sau xảy ra gần như đồng thời.
Vế sau không đi với よう、つもり、 câu mệnh lệnh...
Văn viết, ít dùng trong hội thoại thông thường, có thể nói thay bằng Vたとたん(に)"	息子はベッドに入るか入らないかのうちに寝てしまった。
N + をきっかけに / がきっかけで	"Nhân dịp N.../
N là cơ duyên để... "	"Diễn đạt tình huống, sự việc mà người nói coi đó là cơ hội/ bước ngoặt để bắt đầu làm một điều nào đó.
Vế sau là nội dung thể hiện hành động mới được khởi đầu."	あの俳優は有名な映画に出たことがきっかけで、スターになった。
"V(普)/A い(普)
A(な)/A(bỏな)である + どころか
N/N である"	"Chẳng những/
Lấy đâu ra… mà ngược lại/
Thậm chí…"	Nhấn mạnh vào thực tế hoàn toàn trái ngược với tưởng tượng, kì vọng cảm xúc tiêu cực, than thở.	このゲームは子供どころか、大人まで夢中になってしまう。
"N
Vる                    +    どころではない
Vている"	"Không phải thời điểm/lúc để có thể…
Không còn tâm trí để…"	Phủ định 1 cách mạnh mẽ rằng đó không phải là thời điểm để có thời gian/ tâm trí mà làm chuyện gì đó.	年末年始は 忙しいので、ゆっくりしているどころではない。
Vる/Vない/N + に限る	...là tốt nhất	Đưa ra đánh giá, ý kiến, ấn tượng cái gì/làm điều gì là tốt nhất	冬はこたつで温まるに限る。
"A い / V(普)
A な /A なである + かぎり(は)
N である"	Trong lúc…/ Khi…	2 trạng thái đồng thời/ song song	日本に住んでいる限り 、 日本のルールを守らなければならない。
N + に限って	Ai chứ/ gì chứ... (thì không...)/ Đúng vào lúc...	"N là đối tượng mà mình rất tin tưởng, kì vọng
N là thời điểm quan trọng nào đó"	予定がある日に限って、上司に残業をさせられる。
N + に限らず	Không chỉ…(mà còn…)	Giống với「〜だけでなく」 .	最近は、女性に限らず、男性も美容に対して意識を持つようになっている。
( ただ ) + Vる/N ある + のみ	Chỉ V/N	"Là phương án duy nhất có thể thực hiện được
Giống だけ"	お金をたくさん稼ぎたかったら、毎日たくさん働く のみだ。.
"普通形
Aなである + のみならず
N/N である"	Không chỉ…(mà còn…)	Lịch sự hơn「〜だけでなく」 .	彼はベトナム人だが英語のみならず、ドイツ語も話せる。
N + に加えて	Thêm vào đó/ không chỉ...mà...cũng	Cách nói cứng hơn của 「〜だけでなく」 .	明日は大雨に加えて風も強くひどい天気になるらしい。
"普通形
A なである + にしても
N である"	(giả sử) cứ cho là...thì...	Đưa ra tình huống giả định, vế sau nói lên ý kiến, đánh giá, phán đoán của người nói	彼女が仮に40代であるにしても、あの見た目は若すぎる。
"V(普)
A な / Aい + くせに
N の"	Vậy mà/ thế mà...	Cảm xúc phê phán, bất mãn, không ngờ	彼女は英語が上手なくせに、何回頼んでも私に教えてくれない。
"N1 も V ば N2 も
N1 も A いければ N2 も
N1 も A な /N なら N2 も"	Cả N1, N2 đều	Tính chất song song, có xu hướng giống nhau (tốt cùng tốt, xấu cùng xấu) hoặc nhiều mặt/khía cạnh của 1 hiện tượng.	この町には、コンビニもなければ、スーパーもない。
"A(bỏい)くて
A(bỏな)で                   +       たまらない
Vたい(bỏい)くて
Vて"	"Rất...
(đến mức không chịu được)"	"Cảm xúc, trạng thái cơ thể vô cùng thế nào đó, đến mức không thể nào chịu được.
Thường đi với cảm giác liên quan đến cơ thể."	ホラー映画を観てから、トイレが怖くてたまらない。
"A(bỏい)くて
A(bỏな)で                   +        ならない
Vて"	"Rất...
(đến mức không kìm nén được)"	"Giốngてしょうがない nhưng ít dùng trong văn nói hơn.
「てならない」: Miêu tả trạng thái cảm xúc mang tính chất tiêu cực hơn so với「てしょうがない / てしかたがない」
「てならない / てしょうがない / てしかたがない」: Thể hiện những cảm xúc mang tính chất tự phát."	入学試験の結果が気になってならない。
V(bỏます)/N + ぎみ	Có cảm giác/ Cảm giác hơi...	Thường dùng cho những điều không tốt.	昨日から風邪ぎみで、仕事に集中できない。
Vる / N + につけ	Cứ mỗi khi.../ Lúc nào cũng/ cái gì cũng...	Đôi khi cứ nhìn(見る)/ nghe(聞く)/ nghĩ(考える)/ nhớ về ~(思う) thì lại có1 cảm xúc nào đó.	あの音楽を聴くにつけ、新婚の頃を思い出す。
V て + はいられない	Không thể nào mà... thêm nữa	Văn nói: ちゃいられない	試験も近いので、遊んではいられません。
"普通形
A(bỏな) /A(bỏな)である        +     ばかりに
Nである"	Chỉ vì... mà...	"Vì nguyên nhân ... dẫn tới kết quả không tốt
Cảm xúc hối tiếc, ân hận
Cách nói cứng, có thể thay bằng 「せいで」"	私が勝手なばかりに、 みんなに迷惑をかけてしまった。
N + とともに	Cùng.../ Cùng với...	2 sự vật, sự việc gì cùng với nhau; hoặc sự hợp tác, đồng hành với nhau giữa người với người.	"妹とともに遊園地へ出かけた。
手紙とともに故郷への切符が送られてきた。"
"Vる / Aい
A(bỏな)である                       +     とともに
N/ Nである"	Đồng thời.../ Vừa... vừa...	2 hành động xảy ra đồng thời, cùng lúc với nhau.	新しい仕事を始めるときは、いつもわくわくするとともに、不安でもある。
Vる / N      +    とともに	Càng... càng.../ Cùng với... thì...	Điều gì đó thay đổi thì một điều khác cũng thay đổi cùng theo.	季節の変化とともに木の葉の色も変わる。
"Vる(の) / Vたの       +      にもとなって / にもとない
--------------
N1                             +       にもとなって / にともなう + N2"	"1. Càng... càng.../ Cùng với...
2. Nhân việc.../ cùng với việc... mà..."	"1. Cả A và B đều chứa từ ngữ chỉ sự thay đổi như: 深まる (trở nên sâu sắc hơn), 高まる (tăng lên, cao lên), 変化する (thay đổi), 拡大する (mở rộng)...
2. Diễn tả khi một sự việc xảy ra (thường là sự bắt đầu, tiến triển, thay đổi,...), thì một tình huống mới sẽ xảy ra cùng với nó."	"1. 彼女は子供のころは髪が茶色かったが、成長するにともなって黒くなった。
2. 山田さんは結婚にともない会社を辞めた。"
Vる / N     +       につれて	Cùng với.../ Càng... càng...	"Diễn tả một sự việc thay đổi thì sự việc khác cũng thay đổi theo.
Cuối câu không thể xuất hiện các hành động mang ý chí, hoặc những cách nói thể hiện ý chí, yêu cầu như「~つもり」 (dự định))「Vよう」「〜ください」."	"年齢を重ねるにつれて、記憶力も下がる。
甘いものを食べ続けるにつれて体重が増え続けてきた。"
"普通形
A な /N            +          だけあって"	Quả nhiên là vì...  nên...	"Là câu hàm ý khen ngợi, đánh giá cao.
Cuối câu có thể dùng: 「だけのことはある」、「だけある」."	このパソコンは値段が高いだけあって、高性能でデザインがいい。
"V(普)/A い(普)
A(bỏな) / A(bỏな)である           +        だけに
N/N である"	"1. Chính bởi... thế nên là...
2. Chính bởi... nên lại càng..."	"1. Giống với だけあって : Vì 1 nguyên nhân, lí do, hoàn cảnh nào đó, nên (vế sau) có 1 điều gì đó đương nhiên như vậy/ kết quả gì đó phát sinh mà có thể dự đoán được
2. Vì 1 nguyên nhân đặc biệt nào đó, thế nên (vế sau) lại càng..."	"この物件は、安いだけに何かあるのではないかと不安になる。
一生懸命練習しただけに試合で負けたことは大変ショックだった。"
Vた / N の + あげく	Kết cục/ Cuối cùng thì...	"Sau khi làm gì đó nhiều lần/trong 1 thời gian dài, thì cuối cùng là 1 kết quả đáng tiếc, không tốt.
Hay đi cùng (mất thời gian): ざんざん、いろいろ、..."	一生懸命走ったあげく、予定時刻に間に合うことが できなかった。
